Peek Lid Scan 

Barcode Fluorometer 1: 10164802459125008321372; 
Barcode Fluorometer 2: 20163102452123308261375; 

SystemTime; Bank No;	Well No;	Color;	RFU;	Time;	CycleNo; 
2020-06-19   13:24:23 ;	0;	11;	0;	26621;0;	0; 
2020-06-19   13:24:23 ;	0;	41;	0;	22458;0;	0; 
2020-06-19   13:24:23 ;	0;	2;	1;	3502;0;	0; 
2020-06-19   13:24:23 ;	0;	32;	1;	3474;0;	0; 
2020-06-19   13:24:23 ;	0;	10;	2;	1194;0;	0; 
2020-06-19   13:24:24 ;	0;	40;	2;	1216;0;	0; 
2020-06-19   13:24:24 ;	0;	24;	3;	783;0;	0; 
2020-06-19   13:24:24 ;	0;	54;	3;	771;0;	0; 
2020-06-19   13:24:24 ;	0;	28;	4;	1209;0;	0; 
2020-06-19   13:24:24 ;	0;	58;	4;	1137;0;	0; 
2020-06-19   13:24:24 ;	0;	16;	0;	27835;0;	0; 
2020-06-19   13:24:24 ;	0;	13;	1;	3356;0;	0; 
2020-06-19   13:24:24 ;	0;	9;	2;	1234;0;	0; 
2020-06-19   13:24:24 ;	0;	46;	0;	25468;0;	0; 
2020-06-19   13:24:24 ;	0;	25;	3;	738;0;	0; 
2020-06-19   13:24:24 ;	0;	43;	1;	3746;0;	0; 
2020-06-19   13:24:24 ;	0;	27;	4;	1134;0;	0; 
2020-06-19   13:24:24 ;	0;	39;	2;	1283;0;	0; 
2020-06-19   13:24:24 ;	0;	55;	3;	773;0;	0; 
2020-06-19   13:24:24 ;	0;	57;	4;	1093;0;	0; 
2020-06-19   13:24:24 ;	0;	17;	0;	23611;0;	0; 
2020-06-19   13:24:24 ;	0;	47;	0;	24905;0;	0; 
2020-06-19   13:24:24 ;	0;	1;	1;	3286;0;	0; 
2020-06-19   13:24:24 ;	0;	31;	1;	3278;0;	0; 
2020-06-19   13:24:24 ;	0;	8;	2;	1185;0;	0; 
2020-06-19   13:24:24 ;	0;	38;	2;	1246;0;	0; 
2020-06-19   13:24:24 ;	0;	14;	3;	788;0;	0; 
2020-06-19   13:24:24 ;	0;	44;	3;	773;0;	0; 
2020-06-19   13:24:24 ;	0;	29;	4;	1184;0;	0; 
2020-06-19   13:24:24 ;	0;	59;	4;	1194;0;	0; 
2020-06-19   13:24:24 ;	0;	21;	0;	27076;0;	0; 
2020-06-19   13:24:24 ;	0;	51;	0;	26911;0;	0; 
2020-06-19   13:24:24 ;	0;	7;	1;	3312;0;	0; 
2020-06-19   13:24:24 ;	0;	37;	1;	3327;0;	0; 
2020-06-19   13:24:24 ;	0;	5;	2;	1133;0;	0; 
2020-06-19   13:24:24 ;	0;	35;	2;	1210;0;	0; 
2020-06-19   13:24:25 ;	0;	20;	3;	765;0;	0; 
2020-06-19   13:24:25 ;	0;	50;	3;	804;0;	0; 
2020-06-19   13:24:25 ;	0;	30;	4;	1126;0;	0; 
2020-06-19   13:24:25 ;	0;	60;	4;	1135;0;	0; 
2020-06-19   13:24:25 ;	0;	22;	0;	25139;0;	0; 
2020-06-19   13:24:25 ;	0;	52;	0;	26370;0;	0; 
2020-06-19   13:24:25 ;	0;	6;	1;	3359;0;	0; 
2020-06-19   13:24:25 ;	0;	36;	1;	3284;0;	0; 
2020-06-19   13:24:25 ;	0;	4;	2;	1168;0;	0; 
2020-06-19   13:24:25 ;	0;	34;	2;	1224;0;	0; 
2020-06-19   13:24:25 ;	0;	15;	3;	793;0;	0; 
2020-06-19   13:24:25 ;	0;	45;	3;	779;0;	0; 
2020-06-19   13:24:25 ;	0;	18;	4;	1165;0;	0; 
2020-06-19   13:24:25 ;	0;	48;	4;	1204;0;	0; 
2020-06-19   13:24:25 ;	0;	26;	0;	26637;0;	0; 
2020-06-19   13:24:25 ;	0;	12;	1;	3619;0;	0; 
2020-06-19   13:24:25 ;	0;	3;	2;	1155;0;	0; 
2020-06-19   13:24:25 ;	0;	56;	0;	23936;0;	0; 
2020-06-19   13:24:25 ;	0;	19;	3;	743;0;	0; 
2020-06-19   13:24:25 ;	0;	42;	1;	3223;0;	0; 
2020-06-19   13:24:25 ;	0;	23;	4;	1261;0;	0; 
2020-06-19   13:24:25 ;	0;	33;	2;	1177;0;	0; 
2020-06-19   13:24:25 ;	0;	49;	3;	761;0;	0; 
2020-06-19   13:24:25 ;	0;	53;	4;	1313;0;	0; 
2020-06-19   13:24:25 ;	0;	28;	0;	27321;0;	0; 
2020-06-19   13:24:25 ;	0;	58;	0;	26569;0;	0; 
2020-06-19   13:24:25 ;	0;	11;	1;	3317;0;	0; 
2020-06-19   13:24:25 ;	0;	41;	1;	2892;0;	0; 
2020-06-19   13:24:25 ;	0;	2;	2;	1151;0;	0; 
2020-06-19   13:24:25 ;	0;	32;	2;	1154;0;	0; 
2020-06-19   13:24:25 ;	0;	10;	3;	756;0;	0; 
2020-06-19   13:24:25 ;	0;	40;	3;	732;0;	0; 
2020-06-19   13:24:25 ;	0;	24;	4;	1224;0;	0; 
2020-06-19   13:24:26 ;	0;	54;	4;	1230;0;	0; 
2020-06-19   13:24:26 ;	0;	27;	0;	22057;0;	0; 
2020-06-19   13:24:26 ;	0;	57;	0;	26306;0;	0; 
2020-06-19   13:24:26 ;	0;	16;	1;	3172;0;	0; 
2020-06-19   13:24:26 ;	0;	46;	1;	3364;0;	0; 
2020-06-19   13:24:26 ;	0;	13;	2;	1113;0;	0; 
2020-06-19   13:24:26 ;	0;	43;	2;	1229;0;	0; 
2020-06-19   13:24:26 ;	0;	9;	3;	771;0;	0; 
2020-06-19   13:24:26 ;	0;	39;	3;	779;0;	0; 
2020-06-19   13:24:26 ;	0;	25;	4;	1155;0;	0; 
2020-06-19   13:24:26 ;	0;	55;	4;	1137;0;	0; 
2020-06-19   13:24:26 ;	0;	29;	0;	26266;0;	0; 
2020-06-19   13:24:26 ;	0;	59;	0;	25261;0;	0; 
2020-06-19   13:24:26 ;	0;	17;	1;	2961;0;	0; 
2020-06-19   13:24:26 ;	0;	47;	1;	3064;0;	0; 
2020-06-19   13:24:26 ;	0;	1;	2;	1014;0;	0; 
2020-06-19   13:24:26 ;	0;	31;	2;	1055;0;	0; 
2020-06-19   13:24:26 ;	0;	8;	3;	747;0;	0; 
2020-06-19   13:24:26 ;	0;	38;	3;	836;0;	0; 
2020-06-19   13:24:26 ;	0;	14;	4;	1281;0;	0; 
2020-06-19   13:24:26 ;	0;	44;	4;	1232;0;	0; 
2020-06-19   13:24:26 ;	0;	30;	0;	24606;0;	0; 
2020-06-19   13:24:26 ;	0;	60;	0;	25564;0;	0; 
2020-06-19   13:24:26 ;	0;	21;	1;	3355;0;	0; 
2020-06-19   13:24:26 ;	0;	51;	1;	3395;0;	0; 
2020-06-19   13:24:26 ;	0;	7;	2;	1029;0;	0; 
2020-06-19   13:24:26 ;	0;	37;	2;	1050;0;	0; 
2020-06-19   13:24:26 ;	0;	5;	3;	744;0;	0; 
2020-06-19   13:24:26 ;	0;	35;	3;	785;0;	0; 
2020-06-19   13:24:26 ;	0;	20;	4;	1182;0;	0; 
2020-06-19   13:24:26 ;	0;	50;	4;	1260;0;	0; 
2020-06-19   13:24:26 ;	0;	18;	0;	25344;0;	0; 
2020-06-19   13:24:26 ;	0;	22;	1;	3324;0;	0; 
2020-06-19   13:24:26 ;	0;	6;	2;	1119;0;	0; 
2020-06-19   13:24:26 ;	0;	48;	0;	26020;0;	0; 
2020-06-19   13:24:27 ;	0;	4;	3;	759;0;	0; 
2020-06-19   13:24:27 ;	0;	52;	1;	3369;0;	0; 
2020-06-19   13:24:27 ;	0;	15;	4;	1252;0;	0; 
2020-06-19   13:24:27 ;	0;	36;	2;	1085;0;	0; 
2020-06-19   13:24:27 ;	0;	34;	3;	808;0;	0; 
2020-06-19   13:24:27 ;	0;	45;	4;	1238;0;	0; 
2020-06-19   13:24:27 ;	0;	23;	0;	29264;0;	0; 
2020-06-19   13:24:27 ;	0;	53;	0;	29097;0;	0; 
2020-06-19   13:24:27 ;	0;	26;	1;	3484;0;	0; 
2020-06-19   13:24:27 ;	0;	56;	1;	3114;0;	0; 
2020-06-19   13:24:27 ;	0;	12;	2;	1212;0;	0; 
2020-06-19   13:24:27 ;	0;	42;	2;	1063;0;	0; 
2020-06-19   13:24:27 ;	0;	3;	3;	783;0;	0; 
2020-06-19   13:24:27 ;	0;	33;	3;	795;0;	0; 
2020-06-19   13:24:27 ;	0;	19;	4;	1174;0;	0; 
2020-06-19   13:24:27 ;	0;	49;	4;	1153;0;	0; 
2020-06-19   13:24:27 ;	0;	24;	0;	27556;0;	0; 
2020-06-19   13:24:27 ;	0;	54;	0;	29084;0;	0; 
2020-06-19   13:24:27 ;	0;	28;	1;	3447;0;	0; 
2020-06-19   13:24:27 ;	0;	58;	1;	3402;0;	0; 
2020-06-19   13:24:27 ;	0;	11;	2;	1068;0;	0; 
2020-06-19   13:24:27 ;	0;	41;	2;	960;0;	0; 
2020-06-19   13:24:27 ;	0;	2;	3;	768;0;	0; 
2020-06-19   13:24:27 ;	0;	32;	3;	805;0;	0; 
2020-06-19   13:24:27 ;	0;	10;	4;	1247;0;	0; 
2020-06-19   13:24:27 ;	0;	40;	4;	1203;0;	0; 
2020-06-19   13:24:27 ;	0;	25;	0;	24545;0;	0; 
2020-06-19   13:24:27 ;	0;	55;	0;	24796;0;	0; 
2020-06-19   13:24:27 ;	0;	27;	1;	3318;0;	0; 
2020-06-19   13:24:27 ;	0;	57;	1;	3332;0;	0; 
2020-06-19   13:24:27 ;	0;	16;	2;	1029;0;	0; 
2020-06-19   13:24:27 ;	0;	46;	2;	1095;0;	0; 
2020-06-19   13:24:27 ;	0;	13;	3;	743;0;	0; 
2020-06-19   13:24:27 ;	0;	43;	3;	807;0;	0; 
2020-06-19   13:24:28 ;	0;	9;	4;	1270;0;	0; 
2020-06-19   13:24:28 ;	0;	39;	4;	1285;0;	0; 
2020-06-19   13:24:28 ;	0;	14;	0;	30314;0;	0; 
2020-06-19   13:24:28 ;	0;	29;	1;	3519;0;	0; 
2020-06-19   13:24:28 ;	0;	17;	2;	943;0;	0; 
2020-06-19   13:24:28 ;	0;	44;	0;	28737;0;	0; 
2020-06-19   13:24:28 ;	0;	1;	3;	752;0;	0; 
2020-06-19   13:24:28 ;	0;	59;	1;	3348;0;	0; 
2020-06-19   13:24:28 ;	0;	8;	4;	1206;0;	0; 
2020-06-19   13:24:28 ;	0;	47;	2;	1005;0;	0; 
2020-06-19   13:24:28 ;	0;	31;	3;	826;0;	0; 
2020-06-19   13:24:28 ;	0;	38;	4;	1271;0;	0; 
2020-06-19   13:24:28 ;	0;	20;	0;	28255;0;	0; 
2020-06-19   13:24:28 ;	0;	50;	0;	27046;0;	0; 
2020-06-19   13:24:28 ;	0;	30;	1;	3331;0;	0; 
2020-06-19   13:24:28 ;	0;	60;	1;	3211;0;	0; 
2020-06-19   13:24:28 ;	0;	21;	2;	1086;0;	0; 
